Category,EncodedValue,DecodedValue
SecondarySchool,230,900
SecondarySchool,231,91
SecondarySchool,232,93
SecondarySchool,233,94
SecondarySchool,234,95
SecondarySchool,235,96
SecondarySchool,236,97
SecondarySchool,237,972
SecondarySchool,238,99
SecondarySchool,239,997
SecondarySchool,240,999
SecondarySchool,241,Other/Unknown
SecondarySchoolAward,0,0
SecondarySchoolAward,1,11
SecondarySchoolAward,2,12
SecondarySchoolAward,3,13
SecondarySchoolAward,4,14
SecondarySchoolAward,5,15
SecondarySchoolAward,6,9
SecondarySchoolAward,7,98
SecondarySchoolAward,8,99
SecondarySchoolAward,9,0
Age_Group,0,18-24
Age_Group,1,25-34
Age_Group,2,35-44
Age_Group,3,45-54
Age_Group,4,55-65
Age_Group,5,Under 18
